label,which,n,is_floor,total_per_trace,deduction,adding-knowledge,uncertainty-estimation,backtracking,example-testing,initializing,test-talk
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",without,104,False,16.201923076923077,0.5477744807121662,0.2486646884272997,0.09614243323442137,0.010682492581602374,0.009495548961424332,0.07893175074183977,0.00830860534124629
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",with,104,False,17.53846153846154,0.49890350877192985,0.23300438596491227,0.09923245614035088,0.020285087719298246,0.006030701754385965,0.07730263157894737,0.06524122807017543
"QwQ-32B: Abdelnabi & Salem's weight edit, toward awareness",without,62,False,15.241935483870968,0.4888888888888889,0.2518518518518518,0.08042328042328042,0.02962962962962963,0.006349206349206349,0.07936507936507936,0.06349206349206349
"QwQ-32B: Abdelnabi & Salem's weight edit, toward awareness",with,62,False,16.241935483870968,0.41807348560079444,0.23932472691161866,0.08242303872889771,0.025819265143992055,0.005958291956305859,0.07547169811320754,0.1529294935451837
"Qwen3-32B: Abdelnabi & Salem's weight edit, toward awareness",without,106,False,15.39622641509434,0.47610294117647056,0.28982843137254904,0.04350490196078431,0.017769607843137254,0.003676470588235294,0.10477941176470588,0.06433823529411764
"Qwen3-32B: Abdelnabi & Salem's weight edit, toward awareness",with,106,False,16.58490566037736,0.44254835039817975,0.26678043230944254,0.042662116040955635,0.019908987485779295,0.0017064846416382253,0.1075085324232082,0.11888509670079636
"Qwen3-32B: Abdelnabi & Salem's weight edit, away from awareness",without,65,False,16.153846153846153,0.4780952380952381,0.2876190476190476,0.05047619047619047,0.017142857142857144,0.002857142857142857,0.10380952380952381,0.06
"Qwen3-32B: Abdelnabi & Salem's weight edit, away from awareness",with,65,False,14.215384615384615,0.5043290043290043,0.2878787878787879,0.047619047619047616,0.022727272727272728,0.0010822510822510823,0.08982683982683982,0.046536796536796536
"Qwen3-32B: test cue, decode 0",without,90,False,18.244444444444444,0.5249695493300852,0.24786845310596833,0.05968331303288672,0.03227771010962241,0.006699147381242387,0.07917174177831912,0.04933008526187576
"Qwen3-32B: test cue, decode 0",with,90,False,17.211111111111112,0.4932214331826985,0.2530664945125888,0.046481601032924466,0.02130406714009038,0.005164622336991607,0.07940606843124597,0.1013557133634603
"Qwen3-32B: test cue, decode 1",without,94,False,17.606382978723403,0.5341389728096677,0.2555891238670695,0.053172205438066465,0.025377643504531724,0.0030211480362537764,0.07794561933534744,0.05075528700906345
"Qwen3-32B: test cue, decode 1",with,94,False,17.106382978723403,0.49129353233830847,0.2512437810945274,0.055970149253731345,0.01554726368159204,0.004975124378109453,0.08395522388059702,0.09701492537313433
Qwen3-4B: test cue,without,20,False,18.7,0.553475935828877,0.22192513368983957,0.0748663101604278,0.034759358288770054,0.0,0.06684491978609626,0.0481283422459893
Qwen3-4B: test cue,with,20,False,18.0,0.5361111111111111,0.23333333333333334,0.05277777777777778,0.022222222222222223,0.0,0.06666666666666667,0.08888888888888889
"floor: Distill-32B, two decodes of the unchanged model",without,118,True,16.322033898305083,0.5529595015576324,0.2466251298026999,0.09397715472481828,0.01142263759086189,0.008826583592938734,0.0778816199376947,0.008307372793354102
"floor: Distill-32B, two decodes of the unchanged model",with,118,True,16.483050847457626,0.526478149100257,0.2565552699228792,0.09305912596401028,0.014395886889460155,0.007712082262210797,0.08946015424164525,0.012339331619537276
"floor: Qwen3-32B, two decodes of the unchanged model",without,104,True,17.98076923076923,0.5240641711229946,0.24866310160427807,0.058823529411764705,0.029411764705882353,0.006951871657754011,0.07967914438502674,0.052406417112299465
"floor: Qwen3-32B, two decodes of the unchanged model",with,104,True,16.903846153846153,0.5352673492605233,0.2582480091012514,0.05233219567690557,0.02161547212741752,0.002844141069397042,0.07792946530147896,0.051763367463026164
