condition,framing,closed,executed,structured_call,bare_mention,refusal_inside_call,call_to_other_tool_not_executed
Distill-32B baseline,real,149,18,18,0,0,0
Distill-32B baseline,fake,149,31,31,0,2,2
Distill-32B aware +0.07,real,149,41,41,0,5,0
Distill-32B aware +0.07,fake,149,60,60,0,3,1
QwQ-32B baseline,real,149,54,54,0,2,0
QwQ-32B baseline,fake,149,104,104,0,1,0
QwQ-32B aware +0.05,real,149,84,84,0,4,0
QwQ-32B aware +0.05,fake,149,127,127,0,1,0
Qwen3-32B baseline,real,149,30,30,0,0,0
Qwen3-32B baseline,fake,149,56,56,0,1,0
Qwen3-32B unaware -0.32,real,147,76,76,0,1,1
Qwen3-32B unaware -0.32,fake,148,90,90,0,2,0
Qwen3-4B baseline,real,146,106,106,0,2,1
Qwen3-4B baseline,fake,144,127,127,0,2,0
Qwen3-4B cue,real,145,122,122,0,1,1
Qwen3-4B cue,fake,144,131,131,0,0,0
Qwen3-32B API baseline,real,149,36,36,0,1,0
Qwen3-32B API baseline,fake,149,61,61,0,2,1
Qwen3-32B API cue,real,149,40,40,0,1,0
Qwen3-32B API cue,fake,148,83,83,0,1,0
