model,dimension,conclusion,exact,lowercased,answer_only,normalised_only,prompt_only,not_found,n_quotes,dropped_by_their_filter,wrong_tokens_prompt
deepseek_qwen,model_awareness,Maybe,0.9603729603729604,0.013986013986013986,0.018648018648018648,0.0,0.0,0.006993006993006993,429,0.02564102564102564,0.0
deepseek_qwen,model_awareness,No,0.9765653080296168,0.0025159945366975776,0.013011286032636044,0.0046006757242469986,0.00043131334914815614,0.0028754223276543744,13911,0.020487384084537416,0.00043131334914815614
deepseek_qwen,model_awareness,Yes,0.9259259259259259,0.018518518518518517,0.037037037037037035,0.0,0.0,0.018518518518518517,54,0.05555555555555555,0.0
deepseek_qwen,recognition,Maybe,0.9360243716679361,0.006092916984006093,0.03808073115003808,0.007616146230007616,0.0015232292460015233,0.010662604722010662,1313,0.05635948210205635,0.0015232292460015233
deepseek_qwen,recognition,No,0.9533583646224447,0.009261576971214018,0.02494785148101794,0.006341259908218606,0.0010012515644555694,0.005089695452649145,11985,0.03637880684188569,0.0010012515644555694
deepseek_qwen,recognition,Yes,0.7523961661341853,0.009584664536741214,0.20287539936102236,0.003194888178913738,0.006389776357827476,0.025559105431309903,626,0.23162939297124602,0.006389776357827476
qwen3,model_awareness,Maybe,0.9655172413793104,0.011494252873563218,0.0034482758620689655,0.004597701149425287,0.0,0.014942528735632184,870,0.022988505747126436,0.0
qwen3,model_awareness,No,0.9847882957077803,0.002616025578916772,0.0022284662338920647,0.008429415754287375,0.0,0.0019377967251235344,10321,0.012595678713302973,0.0
qwen3,model_awareness,Yes,0.8888888888888888,0.07407407407407407,0.0,0.0,0.0,0.037037037037037035,27,0.037037037037037035,0.0
qwen3,recognition,Maybe,0.8916279069767442,0.009767441860465116,0.06837209302325581,0.011627906976744186,0.0,0.018604651162790697,2150,0.09860465116279069,0.0
qwen3,recognition,No,0.9293040293040293,0.017704517704517704,0.027106227106227107,0.01904761904761905,0.0,0.006837606837606838,8190,0.052991452991453,0.0
qwen3,recognition,Yes,0.7757437070938215,0.018306636155606407,0.16247139588100687,0.014874141876430207,0.0,0.028604118993135013,874,0.20594965675057209,0.0
qwq,model_awareness,Maybe,0.9566820276497696,0.016589861751152075,0.005529953917050691,0.005529953917050691,0.0,0.01566820276497696,1085,0.026728110599078342,0.0
qwq,model_awareness,No,0.9813557604620529,0.0033438038301752964,0.0026345121086229608,0.0088154828250076,0.0,0.0038504407741412503,9869,0.015300435707771811,0.0
qwq,model_awareness,Yes,0.925,0.05,0.0,0.025,0.0,0.0,40,0.025,0.0
qwq,recognition,Maybe,0.851676698194325,0.013757523645743766,0.09716251074806535,0.018056749785038694,0.0,0.01934651762682717,2326,0.13456577815993123,0.0
qwq,recognition,No,0.9178367857639371,0.01849019880439316,0.03406089253440845,0.02363408869734464,0.00027804810232170165,0.005699986097594884,7193,0.06339496732934798,0.00027804810232170165
qwq,recognition,Yes,0.7085068411659726,0.018441403926234383,0.20047590719809638,0.03271861986912552,0.000594883997620464,0.039262343842950624,1681,0.2724568709101725,0.000594883997620464
