model,family,arm,signed_alpha,baseline,framing,flip_class,n,metric,base_mean,delta,ci_lo,ci_hi,sig
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:guideline\w*,0.44877369885820173,0.023780891395471813,-0.044697680860170126,0.08742945380282786,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:polic(?:y|ies),0.09856756290268481,-0.03479902957408377,-0.06841448967387781,-0.0008862869871539295,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:illegal|unlawful,0.5035142541536887,0.03624323409992571,-0.036727964109231646,0.10619480257831959,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:unethical|ethic\w*,0.8492561175171437,0.13178138594891198,0.05124408428397366,0.2107562727740726,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:law\w*,0.08595221744931848,0.004008786153644517,-0.033241727270741185,0.040428897871398466,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:crim\w*,0.009565091514587832,-0.006756970428406595,-0.0198215557168979,0.0033399622009882882,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:fraud\w*,0.2757133795575027,-0.0469702897899971,-0.09660667102057448,0.0010707642559112077,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:harm\w*,0.3648971650993677,0.041259363865052356,-0.02287844394010309,0.10640649552869755,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:malicious,0.04639990627198965,0.006295145483783042,-0.014812092895760583,0.02844083189926044,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:prohibit\w*|not allowed,0.08280471080850989,-0.027061802953207904,-0.06156363821464156,0.0052674568234962,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:violat\w*,0.08315705062689337,0.007428618788804571,-0.02500912095066478,0.0401816894146286,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:decepti\w*|mislead\w*,0.13750751843642736,0.0033790195288710884,-0.03977338449206197,0.04726446253451746,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:consequence\w*,0.1370067115144586,0.015296430705988427,-0.0278254220601634,0.060377023824222865,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:dangerous,0.012426681028552712,-0.0023770562030917164,-0.016703227628480824,0.011021777972385394,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:scam\w*|defam\w*|counterfeit|forg(?:e|ed|ery|ing),0.1508300833205257,-0.010820263227575257,-0.06133368625599745,0.039006942785807124,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:misuse\w*|abuse\w*,0.2513617698597619,-0.015843977545390242,-0.07674770635327023,0.0465345340930296,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:inappropriate,0.0,0.0019012491206722817,0.0,0.005703747362016845,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:responsib\w*,0.06530952206053922,0.05373488621309054,0.011851644888618167,0.09444403933102294,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:safety|privacy|consent,0.100526314585257,0.014236857955397595,-0.01973123736416788,0.04815023211771123,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,w:legitimate|authoriz\w*,0.23425257422749904,0.019218409588020333,-0.03851441723936771,0.0732071492788424,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:guideline\w*,0.4404492942809571,0.010988823228909992,-0.06092875863489336,0.08301045492370494,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:polic(?:y|ies),0.09817324797623388,-0.016010405765015803,-0.05459041401907014,0.0203592007600606,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:illegal|unlawful,0.44166081701252136,-0.022066201711090923,-0.0894920472618123,0.04630475558967796,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:unethical|ethic\w*,0.8258327376035777,0.08754405729850637,-0.0016421454517287987,0.17935477390110452,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:law\w*,0.06001707731477296,0.016873100198170714,-0.015324848824611579,0.048272769476372025,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:crim\w*,0.0,0.005010311424658438,0.0,0.012771200470617349,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:fraud\w*,0.21586045489270356,0.009827882450490873,-0.039874009596547855,0.061720939206052636,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:harm\w*,0.39072538781791283,-0.021220147580728037,-0.09193546597659272,0.046546719628869714,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:malicious,0.06716874683058024,-0.01738628340474642,-0.042498531801214046,0.007073090765620944,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:prohibit\w*|not allowed,0.060895192472715666,-0.02721877505292458,-0.0552768467502526,-0.0008225886994935996,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:violat\w*,0.08154875962754433,0.018904855221591063,-0.009270888215405589,0.0478197103279923,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:decepti\w*|mislead\w*,0.09801560457889755,0.035963279714754826,-0.0013308273180943516,0.07527752184331317,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:consequence\w*,0.12411527984373898,0.01467664587402193,-0.028559199783593777,0.05700774421563356,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:dangerous,0.010281860433640199,-0.005075079734783475,-0.019239538811493997,0.005441874235419901,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:scam\w*|defam\w*|counterfeit|forg(?:e|ed|ery|ing),0.09974238446998265,-0.004599332970353222,-0.03601694917510177,0.026029572772984035,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,w:misuse\w*|abuse\w*,0.2382840019595389,-0.021312390721956287,-0.08216655723495367,0.04207937647506517,False
