condition,positives,evidence_is_test_language,verbalization_200_300_words,verbalization_closed,verbalization_unclosed,n_unclosed
baseline,28,28/28,0.19 (n=53),0.19,0.00,3
baseline_seed1,22,20/22,0.17 (n=46),0.15,0.00,6
random_bt,27,19/27,0.08 (n=49),0.18,0.00,2
random_unc,30,26/30,0.15 (n=46),0.20,0.00,2
shuffled_bt,44,44/44,0.37 (n=19),0.34,0.16,37
shuffled_unc,41,38/41,0.25 (n=28),0.28,0.24,21
bt_neg,2,2/2,0.00 (n=42),0.01,—,0
unc_neg,1,1/1,0.00 (n=65),0.01,0.00,3
unc_pos,55,53/55,0.48 (n=31),0.37,0.30,10
bt_pos,65,61/65,0.45 (n=11),0.53,0.27,55
