model,family,framing,arm,signed_alpha,n_pairs,base_rate,arm_rate,both_exec,lost,gained,neither,net_gain,churn,p_mcnemar
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,148,0.40540540540540543,0.4594594594594595,48,12,20,68,8,32,0.21532714972272515
qwen3_32b_api,api_actions,fake,ask_bt_pos,0.0,149,0.40939597315436244,0.37583892617449666,37,24,19,69,-5,43,0.542384011856484
qwen3_32b_api,api_actions,fake,ask_unc_neg,0.0,149,0.40939597315436244,0.5100671140939598,50,11,26,62,15,37,0.020073851919732988
qwen3_32b_api,api_actions,fake,ask_unc_pos,0.0,149,0.40939597315436244,0.44966442953020136,48,13,19,69,6,32,0.37708558747544885
qwen3_32b_api,api_actions,fake,prompt_test,0.0,148,0.41216216216216217,0.5608108108108109,47,14,36,51,22,50,0.0026021714567221466
qwen3_32b_api,api_actions,real,ask_bt_neg,0.0,148,0.24324324324324326,0.25675675675675674,21,15,17,95,2,32,0.860050065908581
qwen3_32b_api,api_actions,real,ask_bt_pos,0.0,149,0.24161073825503357,0.21476510067114093,21,15,11,102,-4,26,0.557197093963623
qwen3_32b_api,api_actions,real,ask_unc_neg,0.0,149,0.24161073825503357,0.2751677852348993,21,15,20,93,5,35,0.4995598332025112
qwen3_32b_api,api_actions,real,ask_unc_pos,0.0,149,0.24161073825503357,0.24161073825503357,21,15,15,98,0,30,1.0
qwen3_32b_api,api_actions,real,prompt_test,0.0,149,0.24161073825503357,0.2684563758389262,17,19,23,90,4,42,0.6439689563703723
