model,family,framing,arm,signed_alpha,n_pairs,metric,behaviour,base_mean,arm_mean,delta,ci_lo,ci_hi,p_paired_t,p_wilcoxon
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,density,initializing,0.551300554716956,0.5596390869047938,0.00833853218783791,-0.06098289055710676,0.07424190189115366,0.8133342624361933,0.755020641094897
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,density,deduction,4.016623102523515,3.9909961689860913,-0.025626933537423343,-0.24026949244708043,0.1911125140632958,0.8165428674210709,0.8668066968696672
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,density,adding-knowledge,1.7719225240546272,1.708587756408993,-0.06333476764563403,-0.21274177189935875,0.09449027030142738,0.4157676510755241,0.4115196969184248
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,density,example-testing,0.16725661774890316,0.18082909183054188,0.013572474081638737,-0.064446039301254,0.08813428496002701,0.7309909596430828,0.710180564427969
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,density,uncertainty-estimation,0.6754260002944295,0.7143547860150585,0.03892878572062908,-0.06601659044343482,0.14922200467270902,0.4865323557327996,0.5117429570888865
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,density,backtracking,0.17914344565848944,0.1749907654990502,-0.004152680159439269,-0.05956237818043956,0.05297745655790012,0.8846049230690829,0.9358601287255747
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,coverage,initializing,0.10474568330163196,0.10449011769353646,-0.0002555656080954909,-0.009408081896165016,0.00845961583115404,0.9565093370553872,0.6829850005916779
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,coverage,deduction,0.5101237479035196,0.5112393810757425,0.0011156331722229711,-0.02331740851450593,0.024683928666950666,0.9266708481747145,0.8653159840459633
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,coverage,adding-knowledge,0.2463718976531795,0.24231291635916313,-0.004058981294016349,-0.025257180492879415,0.01898848140404923,0.7139749977656711,0.984124333598961
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,coverage,example-testing,0.023705891521059085,0.02499552120006952,0.0012896296790104356,-0.009569349926373738,0.011820778900599058,0.8149965620433014,0.8952420652069683
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,coverage,uncertainty-estimation,0.08840138177171876,0.0936610982344921,0.0052597164627733355,-0.010199637140656819,0.020961063288490654,0.5082417360033197,0.6138685996156523
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,coverage,backtracking,0.026651397848891156,0.023300965436996255,-0.003350432411894904,-0.011818157138398585,0.005296633549669836,0.4393115969187399,0.5828452041446367
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,any,initializing,1.0,1.0,0.0,0.0,0.0,,
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,any,deduction,1.0,1.0,0.0,0.0,0.0,,
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,any,adding-knowledge,1.0,0.9932885906040269,-0.006711409395973154,-0.020134228187919462,0.0,0.31894268036747375,
qwen3_32b_api,api_actions,fake,ask_bt_neg,0.0,149,any,example-testing,0.2684563758389262,0.30201342281879195,0.03355704697986577,-0.06040268456375839,0.1342281879194631,0.5020215938326524,0.5001842570707944
