model,family,framing,arm,signed_alpha,n_pairs,base_rate,arm_rate,both_exec,lost,gained,neither,net_gain,churn,p_mcnemar
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,149,0.2080536912751678,0.3691275167785235,28,3,27,91,24,30,8.430331945419312e-06
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,149,0.2080536912751678,0.40268456375838924,29,2,31,87,29,33,1.3085082173347473e-07
deepseek_qwen,actions,fake,alpha0.25,-0.25,149,0.2080536912751678,0.1610738255033557,19,12,5,113,-7,17,0.143463134765625
deepseek_qwen,actions,fake,alpha0.3,-0.3,149,0.2080536912751678,0.16778523489932887,21,10,4,114,-6,14,0.1795654296875
deepseek_qwen,actions,fake,alpha0.35,-0.35,149,0.2080536912751678,0.15436241610738255,19,12,4,114,-8,16,0.076812744140625
deepseek_qwen,actions,real,alpha0.05_aware,0.05,149,0.12080536912751678,0.174496644295302,15,3,11,120,8,14,0.057373046875
deepseek_qwen,actions,real,alpha0.07_aware,0.07,149,0.12080536912751678,0.2751677852348993,15,3,26,105,23,29,1.5236437320709229e-05
deepseek_qwen,actions,real,alpha0.25,-0.25,149,0.12080536912751678,0.12080536912751678,14,4,4,127,0,8,1.0
deepseek_qwen,actions,real,alpha0.3,-0.3,149,0.12080536912751678,0.10067114093959731,13,5,2,129,-3,7,0.453125
deepseek_qwen,actions,real,alpha0.35,-0.35,149,0.12080536912751678,0.09395973154362416,12,6,2,129,-4,8,0.2890625
deepseek_qwen,actions_sampling,fake,alpha0.07_aware,0.07,149,0.20134228187919462,0.3959731543624161,24,6,35,84,29,41,4.873598300036974e-06
deepseek_qwen,actions_sampling,fake,alpha0.35,-0.35,88,0.1590909090909091,0.20454545454545456,7,7,11,63,4,18,0.480682373046875
deepseek_qwen,actions_sampling,real,alpha0.07_aware,0.07,149,0.1610738255033557,0.2550335570469799,17,7,21,104,14,28,0.012540951371192932
deepseek_qwen,actions_sampling,real,alpha0.35,-0.35,88,0.125,0.14772727272727273,4,7,9,68,2,16,0.803619384765625
qwen3,actions,fake,alpha0.043_aware,0.043,148,0.3716216216216216,0.42567567567567566,48,7,15,78,8,22,0.13380050659179688
qwen3,actions,fake,alpha0.053_aware,0.053,139,0.39568345323741005,0.43884892086330934,52,3,9,75,6,12,0.14599609375
qwen3,actions,fake,alpha0.05_aware,0.05,143,0.38461538461538464,0.44755244755244755,48,7,16,72,9,23,0.0931396484375
qwen3,actions,fake,alpha0.25,-0.25,148,0.3783783783783784,0.6148648648648649,49,7,42,50,35,49,3.6245783263666453e-07
qwen3,actions,fake,alpha0.3,-0.3,147,0.3673469387755102,0.6802721088435374,48,6,52,41,46,58,3.1581898207733166e-10
qwen3,actions,fake,alpha0.32,-0.32,148,0.3783783783783784,0.6081081081081081,47,9,43,49,34,52,2.0377698612961126e-06
qwen3,actions,real,alpha0.043_aware,0.043,148,0.20270270270270271,0.22297297297297297,21,9,12,106,3,21,0.6636238098144531
qwen3,actions,real,alpha0.053_aware,0.053,137,0.20437956204379562,0.26277372262773724,22,6,14,95,8,20,0.11531829833984375
qwen3,actions,real,alpha0.05_aware,0.05,145,0.20689655172413793,0.22758620689655173,22,8,11,104,3,19,0.6476058959960938
qwen3,actions,real,alpha0.25,-0.25,149,0.20134228187919462,0.40268456375838924,26,4,34,85,30,38,6.038535502739251e-07
qwen3,actions,real,alpha0.3,-0.3,148,0.20270270270270271,0.4189189189189189,26,4,36,82,32,40,1.8570244719740003e-07
qwen3,actions,real,alpha0.32,-0.32,147,0.20408163265306123,0.5170068027210885,24,6,52,65,46,58,3.1581898207733166e-10
qwq,actions,fake,alpha0.05_aware,0.05,149,0.697986577181208,0.8523489932885906,101,3,26,19,23,29,1.5236437320709229e-05
qwq,actions,fake,alpha0.25,-0.25,149,0.697986577181208,0.5234899328859061,73,31,5,40,-26,36,1.2913485988974571e-05
qwq,actions,fake,alpha0.3,-0.3,149,0.697986577181208,0.5302013422818792,74,30,5,40,-25,35,2.2361520677804947e-05
qwq,actions,real,alpha0.05_aware,0.05,149,0.3624161073825503,0.5637583892617449,51,3,33,62,30,36,2.2721360437572002e-07
qwq,actions,real,alpha0.25,-0.25,149,0.3624161073825503,0.31543624161073824,38,16,9,86,-7,25,0.2295229434967041
qwq,actions,real,alpha0.3,-0.3,149,0.3624161073825503,0.28859060402684567,38,16,5,90,-11,21,0.02660369873046875
