pair,framing,class,n,metric,base,delta,lo,hi,sig
baseline0 → baseline1 (floor),real,all,149,words,285.4429530201342,4.201342281879195,-36.05570469798658,43.087751677852346,False
baseline0 → baseline1 (floor),real,all,149,density_norm,1.885102503744815,0.03943013794631027,-0.14018531528152334,0.21341573539335268,False
baseline0 → baseline1 (floor),real,all,149,n_norm,4.718120805369128,0.06040268456375839,-0.4228187919463087,0.5503355704697986,False
baseline0 → baseline1 (floor),real,all,149,n_testlex_total,0.9530201342281879,-0.12080536912751678,-0.28187919463087246,0.040268456375838924,False
baseline0 → baseline1 (floor),real,all,149,density_deduction_nontest,3.6843046374705892,0.013996739584508502,-0.1771095934793862,0.2033838048240595,False
baseline0 → baseline1 (floor),real,all,149,density_adding-knowledge_nontest,1.7458717045858094,0.023443803369696436,-0.11496885671354161,0.16495303525263097,False
baseline0 → baseline1 (floor),real,all,149,density_uncertainty-estimation_nontest,0.4251730948145216,0.021086953498499747,-0.08070962108106258,0.1184446967444519,False
baseline0 → baseline1 (floor),real,all,149,density_backtracking_nontest,0.15209695059163786,0.007688219877668221,-0.049515736226234626,0.06280292479505609,False
baseline0 → baseline1 (floor),real,all,149,density_example-testing_nontest,0.07836058558407699,0.0013991915236085143,-0.03391219929339143,0.03992467701097652,False
baseline0 → baseline1 (floor),real,all,149,density_initializing_nontest,0.5662584218573912,-0.03217934509003717,-0.0967520740063066,0.032606058640857714,False
baseline0 → baseline1 (floor),real,all,149,density_deduction_testlex,0.2421143952212984,0.014762991404923284,-0.0439205934445556,0.07301307989488957,False
baseline0 → baseline1 (floor),real,all,149,density_adding-knowledge_testlex,0.011935980723595755,-0.0023761516249521217,-0.01728996826958382,0.011550493436598062,False
baseline0 → baseline1 (floor),real,all,149,density_uncertainty-estimation_testlex,0.09468697303695514,-0.02421280664193188,-0.06355003936328979,0.011887024134326032,False
baseline0 → baseline1 (floor),real,all,149,density_backtracking_testlex,0.0029565680158472043,-0.0010224442706099842,-0.008869704047541614,0.005802371235711661,False
baseline0 → baseline1 (floor),real,all,149,density_example-testing_testlex,0.00828752901790896,-0.0060942579734732895,-0.01714638649359984,0.002559489414428551,False
baseline0 → baseline1 (floor),real,all,149,density_initializing_testlex,0.0027171697959405485,-0.0027171697959405485,-0.008151509387821644,0.0,False
baseline0 → baseline1 (floor),real,all,149,n_deduction,11.194630872483222,0.16778523489932887,-1.4632550335570471,1.68473154362416,False
baseline0 → baseline1 (floor),real,all,149,n_adding-knowledge,4.758389261744966,-0.08053691275167785,-0.5370805369127517,0.3825503355704698,False
baseline0 → baseline1 (floor),real,all,149,n_uncertainty-estimation,1.7181208053691275,0.18791946308724833,-0.4966442953020134,0.93976510067114,False
baseline0 → baseline1 (floor),real,all,149,n_backtracking,0.5704697986577181,-0.006711409395973154,-0.40268456375838924,0.2953020134228188,False
baseline0 → baseline1 (floor),real,all,149,n_example-testing,0.31543624161073824,-0.006711409395973154,-0.1610738255033557,0.14110738255033464,False
baseline0 → baseline1 (floor),real,all,149,n_initializing,1.3758389261744965,-0.013422818791946308,-0.16778523489932887,0.15436241610738255,False
baseline0 → baseline1 (floor),real,refuse_both,104,words,259.6923076923077,-16.259615384615383,-55.380048076923075,14.231730769230763,False
baseline0 → baseline1 (floor),real,refuse_both,104,density_norm,2.2250183376685038,0.05035395352357165,-0.14176464378467724,0.24247063619831785,False
baseline0 → baseline1 (floor),real,refuse_both,104,n_norm,5.365384615384615,0.0,-0.6057692307692307,0.5480769230769231,False
baseline0 → baseline1 (floor),real,refuse_both,104,n_testlex_total,0.9423076923076923,-0.0673076923076923,-0.2692307692307692,0.125,False
baseline0 → baseline1 (floor),real,refuse_both,104,density_deduction_nontest,3.6570737224803653,0.023868057340042603,-0.1914609680584027,0.24382485696941728,False
baseline0 → baseline1 (floor),real,refuse_both,104,density_adding-knowledge_nontest,1.8026846264133762,0.07256191371301052,-0.09436902722900503,0.2349382471913437,False
baseline0 → baseline1 (floor),real,refuse_both,104,density_uncertainty-estimation_nontest,0.3365335494998774,-0.005842394615594228,-0.11255054785043464,0.09438725168895931,False
baseline0 → baseline1 (floor),real,refuse_both,104,density_backtracking_nontest,0.1336668783039008,0.0030987128985677835,-0.07008584467825703,0.07209058672441176,False
baseline0 → baseline1 (floor),real,refuse_both,104,density_example-testing_nontest,0.02831502267189053,-0.012549504964772687,-0.03620092953093663,0.010320024614417108,False
baseline0 → baseline1 (floor),real,refuse_both,104,density_initializing_nontest,0.6291731822007287,-0.05924227524565157,-0.13635254283250883,0.025750677573892756,False
baseline0 → baseline1 (floor),real,refuse_both,104,density_deduction_testlex,0.2581093572921898,0.04415916195057197,-0.025384059041734762,0.11401734946317883,False
