model,family,framing,arm,signed_alpha,aware_class,n_traces,behaviour,spans,testlex_spans,testlex_share
deepseek_qwen,actions,fake,alpha0.0,0.0,n/a,149,initializing,228,0,0.0
deepseek_qwen,actions,fake,alpha0.0,0.0,n/a,149,deduction,1525,20,0.013114754098360656
deepseek_qwen,actions,fake,alpha0.0,0.0,n/a,149,adding-knowledge,594,6,0.010101010101010102
deepseek_qwen,actions,fake,alpha0.0,0.0,n/a,149,example-testing,46,1,0.021739130434782608
deepseek_qwen,actions,fake,alpha0.0,0.0,n/a,149,uncertainty-estimation,274,12,0.043795620437956206
deepseek_qwen,actions,fake,alpha0.0,0.0,n/a,149,backtracking,45,0,0.0
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,n/a,148,initializing,244,1,0.004098360655737705
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,n/a,148,deduction,1633,87,0.05327617881200245
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,n/a,148,adding-knowledge,593,12,0.02023608768971332
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,n/a,148,example-testing,62,3,0.04838709677419355
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,n/a,148,uncertainty-estimation,336,55,0.1636904761904762
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,n/a,148,backtracking,48,3,0.0625
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,n/a,147,initializing,218,2,0.009174311926605505
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,n/a,147,deduction,1610,150,0.09316770186335403
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,n/a,147,adding-knowledge,652,48,0.0736196319018405
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,n/a,147,example-testing,59,13,0.22033898305084745
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,n/a,147,uncertainty-estimation,298,75,0.2516778523489933
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,n/a,147,backtracking,40,4,0.1
deepseek_qwen,actions,fake,alpha0.25,-0.25,n/a,148,initializing,218,0,0.0
deepseek_qwen,actions,fake,alpha0.25,-0.25,n/a,148,deduction,1519,19,0.012508229098090849
deepseek_qwen,actions,fake,alpha0.25,-0.25,n/a,148,adding-knowledge,578,4,0.006920415224913495
deepseek_qwen,actions,fake,alpha0.25,-0.25,n/a,148,example-testing,72,4,0.05555555555555555
deepseek_qwen,actions,fake,alpha0.25,-0.25,n/a,148,uncertainty-estimation,309,10,0.032362459546925564
deepseek_qwen,actions,fake,alpha0.25,-0.25,n/a,148,backtracking,47,0,0.0
deepseek_qwen,actions,fake,alpha0.3,-0.3,n/a,149,initializing,213,0,0.0
deepseek_qwen,actions,fake,alpha0.3,-0.3,n/a,149,deduction,1557,17,0.010918432883750802
deepseek_qwen,actions,fake,alpha0.3,-0.3,n/a,149,adding-knowledge,605,3,0.0049586776859504135
deepseek_qwen,actions,fake,alpha0.3,-0.3,n/a,149,example-testing,59,3,0.05084745762711865
deepseek_qwen,actions,fake,alpha0.3,-0.3,n/a,149,uncertainty-estimation,271,5,0.01845018450184502
deepseek_qwen,actions,fake,alpha0.3,-0.3,n/a,149,backtracking,49,0,0.0
deepseek_qwen,actions,fake,alpha0.35,-0.35,n/a,149,initializing,222,0,0.0
deepseek_qwen,actions,fake,alpha0.35,-0.35,n/a,149,deduction,1559,27,0.01731879409878127
deepseek_qwen,actions,fake,alpha0.35,-0.35,n/a,149,adding-knowledge,582,4,0.006872852233676976
deepseek_qwen,actions,fake,alpha0.35,-0.35,n/a,149,example-testing,40,1,0.025
deepseek_qwen,actions,fake,alpha0.35,-0.35,n/a,149,uncertainty-estimation,270,8,0.02962962962962963
deepseek_qwen,actions,fake,alpha0.35,-0.35,n/a,149,backtracking,52,0,0.0
deepseek_qwen,actions,real,alpha0.0,0.0,n/a,149,initializing,204,0,0.0
deepseek_qwen,actions,real,alpha0.0,0.0,n/a,149,deduction,1448,17,0.011740331491712707
deepseek_qwen,actions,real,alpha0.0,0.0,n/a,149,adding-knowledge,616,3,0.00487012987012987
deepseek_qwen,actions,real,alpha0.0,0.0,n/a,149,example-testing,27,1,0.037037037037037035
deepseek_qwen,actions,real,alpha0.0,0.0,n/a,149,uncertainty-estimation,248,5,0.020161290322580645
deepseek_qwen,actions,real,alpha0.0,0.0,n/a,149,backtracking,34,0,0.0
deepseek_qwen,actions,real,alpha0.05_aware,0.05,n/a,148,initializing,204,1,0.004901960784313725
deepseek_qwen,actions,real,alpha0.05_aware,0.05,n/a,148,deduction,1459,44,0.03015764222069911
deepseek_qwen,actions,real,alpha0.05_aware,0.05,n/a,148,adding-knowledge,605,5,0.008264462809917356
deepseek_qwen,actions,real,alpha0.05_aware,0.05,n/a,148,example-testing,31,4,0.12903225806451613
deepseek_qwen,actions,real,alpha0.05_aware,0.05,n/a,148,uncertainty-estimation,290,38,0.1310344827586207
deepseek_qwen,actions,real,alpha0.05_aware,0.05,n/a,148,backtracking,47,3,0.06382978723404255
deepseek_qwen,actions,real,alpha0.07_aware,0.07,n/a,148,initializing,217,0,0.0
deepseek_qwen,actions,real,alpha0.07_aware,0.07,n/a,148,deduction,1537,93,0.0605074821080026
deepseek_qwen,actions,real,alpha0.07_aware,0.07,n/a,148,adding-knowledge,625,20,0.032
deepseek_qwen,actions,real,alpha0.07_aware,0.07,n/a,148,example-testing,46,9,0.1956521739130435
deepseek_qwen,actions,real,alpha0.07_aware,0.07,n/a,148,uncertainty-estimation,322,59,0.18322981366459629
deepseek_qwen,actions,real,alpha0.07_aware,0.07,n/a,148,backtracking,71,2,0.028169014084507043
deepseek_qwen,actions,real,alpha0.25,-0.25,n/a,149,initializing,211,1,0.004739336492890996
deepseek_qwen,actions,real,alpha0.25,-0.25,n/a,149,deduction,1481,19,0.012829169480081027
deepseek_qwen,actions,real,alpha0.25,-0.25,n/a,149,adding-knowledge,581,1,0.0017211703958691911
deepseek_qwen,actions,real,alpha0.25,-0.25,n/a,149,example-testing,33,2,0.06060606060606061
deepseek_qwen,actions,real,alpha0.25,-0.25,n/a,149,uncertainty-estimation,229,5,0.021834061135371178
deepseek_qwen,actions,real,alpha0.25,-0.25,n/a,149,backtracking,37,0,0.0
deepseek_qwen,actions,real,alpha0.3,-0.3,n/a,149,initializing,222,0,0.0
deepseek_qwen,actions,real,alpha0.3,-0.3,n/a,149,deduction,1521,17,0.011176857330703484
deepseek_qwen,actions,real,alpha0.3,-0.3,n/a,149,adding-knowledge,556,1,0.0017985611510791368
deepseek_qwen,actions,real,alpha0.3,-0.3,n/a,149,example-testing,51,2,0.0392156862745098
deepseek_qwen,actions,real,alpha0.3,-0.3,n/a,149,uncertainty-estimation,228,4,0.017543859649122806
deepseek_qwen,actions,real,alpha0.3,-0.3,n/a,149,backtracking,31,0,0.0
deepseek_qwen,actions,real,alpha0.35,-0.35,n/a,149,initializing,212,0,0.0
deepseek_qwen,actions,real,alpha0.35,-0.35,n/a,149,deduction,1490,18,0.012080536912751677
deepseek_qwen,actions,real,alpha0.35,-0.35,n/a,149,adding-knowledge,579,2,0.0034542314335060447
deepseek_qwen,actions,real,alpha0.35,-0.35,n/a,149,example-testing,27,2,0.07407407407407407
deepseek_qwen,actions,real,alpha0.35,-0.35,n/a,149,uncertainty-estimation,238,4,0.01680672268907563
deepseek_qwen,actions,real,alpha0.35,-0.35,n/a,149,backtracking,35,0,0.0
deepseek_qwen,actions_sampling,fake,alpha0.0,0.0,n/a,149,initializing,208,1,0.004807692307692308
deepseek_qwen,actions_sampling,fake,alpha0.0,0.0,n/a,149,deduction,1503,38,0.025282767797737856
deepseek_qwen,actions_sampling,fake,alpha0.0,0.0,n/a,149,adding-knowledge,624,0,0.0
deepseek_qwen,actions_sampling,fake,alpha0.0,0.0,n/a,149,example-testing,33,1,0.030303030303030304
deepseek_qwen,actions_sampling,fake,alpha0.0,0.0,n/a,149,uncertainty-estimation,232,13,0.05603448275862069
deepseek_qwen,actions_sampling,fake,alpha0.0,0.0,n/a,149,backtracking,35,1,0.02857142857142857
deepseek_qwen,actions_sampling,fake,alpha0.07_aware,0.07,n/a,149,initializing,252,5,0.01984126984126984
deepseek_qwen,actions_sampling,fake,alpha0.07_aware,0.07,n/a,149,deduction,1532,135,0.0881201044386423
deepseek_qwen,actions_sampling,fake,alpha0.07_aware,0.07,n/a,149,adding-knowledge,657,42,0.0639269406392694
deepseek_qwen,actions_sampling,fake,alpha0.07_aware,0.07,n/a,149,example-testing,64,6,0.09375
deepseek_qwen,actions_sampling,fake,alpha0.07_aware,0.07,n/a,149,uncertainty-estimation,264,77,0.2916666666666667
deepseek_qwen,actions_sampling,fake,alpha0.07_aware,0.07,n/a,149,backtracking,40,3,0.075
