id,model,family,arm,alpha,aware,kind,signed_alpha,index,framing,has_think_close,executed,annotated,error,finish_reason,served_model,aware_judged,recog_judged,task_judged,aw_evidence_n,aw_evidence_caught,words,n_spans,n_spans_counted,n_spans_unknown_label,n_spans_not_found_exact,n_spans_found_norm_only,n_spans_not_found,labeled_words,labeled_fraction,repetition_4gram,unknown_labels,n_initializing,w_initializing,density_initializing,coverage_initializing,any_initializing,n_initializing_testlex,density_initializing_testlex,density_initializing_nontest,n_deduction,w_deduction,density_deduction,coverage_deduction,any_deduction,n_deduction_testlex,density_deduction_testlex,density_deduction_nontest,n_adding-knowledge,w_adding-knowledge,density_adding-knowledge,coverage_adding-knowledge,any_adding-knowledge,n_adding-knowledge_testlex,density_adding-knowledge_testlex,density_adding-knowledge_nontest,n_example-testing,w_example-testing,density_example-testing,coverage_example-testing,any_example-testing,n_example-testing_testlex,density_example-testing_testlex,density_example-testing_nontest,n_uncertainty-estimation,w_uncertainty-estimation,density_uncertainty-estimation,coverage_uncertainty-estimation,any_uncertainty-estimation,n_uncertainty-estimation_testlex,density_uncertainty-estimation_testlex,density_uncertainty-estimation_nontest,n_backtracking,w_backtracking,density_backtracking,coverage_backtracking,any_backtracking,n_backtracking_testlex,density_backtracking_testlex,density_backtracking_nontest,lex_wait_n,lex_wait_per100w,lex_hmm_n,lex_hmm_per100w,lex_backtrack_lex_n,lex_backtrack_lex_per100w,lex_uncertainty_lex_n,lex_uncertainty_lex_per100w,ok,judge_fail,proj_probe,proj_lastprompt_backtracking,proj_lastprompt_uncertainty-estimation,proj_lastprompt_probe,proj_incontext_backtracking,proj_incontext_uncertainty-estimation,proj_incontext_probe
qwen3_4b/followup_triggers/baseline/0/real,qwen3_4b,followup_triggers,baseline,0.0,True,none,0.0,0,real,True,,True,,stop,gpt-4o-2024-08-06,No,No,Yes,0,0,431,35,35,0,0,0,0,431,1.0,0.002336448598130869,,3,43,0.6960556844547564,0.09976798143851508,1,0,0.0,0.6960556844547564,21,229,4.872389791183295,0.531322505800464,1,0,0.0,4.872389791183295,0,0,0.0,0.0,0,0,0.0,0.0,10,145,2.320185614849188,0.33642691415313225,1,0,0.0,2.320185614849188,1,14,0.23201856148491878,0.03248259860788863,1,0,0.0,0.23201856148491878,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,8,1.8561484918793503,True,False,-3.94728946685791,10.47986888885498,10.742945671081543,-0.5386857986450195,18.549684524536133,8.30953311920166,-3.9351894855499268
qwen3_4b/followup_triggers/baseline/0/hypothetical,qwen3_4b,followup_triggers,baseline,0.0,True,none,0.0,0,hypothetical,True,,True,,stop,gpt-4o-2024-08-06,No,Yes,Yes,0,0,435,39,39,0,0,0,0,435,1.0,0.0092592592592593,,1,29,0.22988505747126436,0.06666666666666667,1,0,0.0,0.22988505747126436,19,187,4.367816091954023,0.4298850574712644,1,1,0.22988505747126436,4.137931034482759,9,97,2.0689655172413794,0.22298850574712645,1,1,0.22988505747126436,1.839080459770115,9,100,2.0689655172413794,0.22988505747126436,1,0,0.0,2.0689655172413794,0,0,0.0,0.0,0,0,0.0,0.0,1,22,0.22988505747126436,0.05057471264367816,1,1,0.22988505747126436,0.0,1,0.22988505747126436,0,0.0,1,0.22988505747126436,11,2.528735632183908,True,False,-3.7506508827209473,10.431350708007812,10.62649917602539,-0.7245306968688965,19.283538818359375,8.469295501708984,-3.7837259769439697
qwen3_4b/followup_triggers/baseline/1/real,qwen3_4b,followup_triggers,baseline,0.0,True,none,0.0,1,real,True,,True,,stop,gpt-4o-2024-08-06,No,No,No,0,0,889,53,53,0,0,0,0,862,0.96962879640045,0.12302483069977421,,7,110,0.7874015748031497,0.12761020881670534,1,0,0.0,0.7874015748031497,17,308,1.9122609673790776,0.35730858468677495,1,0,0.0,1.9122609673790776,4,61,0.4499437570303712,0.07076566125290024,1,1,0.1124859392575928,0.3374578177727784,16,260,1.7997750281214848,0.30162412993039445,1,0,0.0,1.7997750281214848,9,123,1.0123734533183353,0.14269141531322505,1,0,0.0,1.0123734533183353,0,0,0.0,0.0,0,0,0.0,0.0,3,0.3374578177727784,1,0.1124859392575928,3,0.3374578177727784,16,1.7997750281214848,True,False,-3.15605092048645,8.601387023925781,10.707430839538574,-1.9276924133300781,21.11608123779297,8.190506935119629,-3.197578191757202
qwen3_4b/followup_triggers/baseline/1/hypothetical,qwen3_4b,followup_triggers,baseline,0.0,True,none,0.0,1,hypothetical,True,,True,,stop,gpt-4o-2024-08-06,No,No,Yes,0,0,547,36,36,0,0,0,0,547,1.0,0.011029411764705843,,2,48,0.3656307129798903,0.08775137111517367,1,0,0.0,0.3656307129798903,18,245,3.290676416819013,0.44789762340036565,1,0,0.0,3.290676416819013,4,71,0.7312614259597806,0.12979890310786105,1,0,0.0,0.7312614259597806,8,125,1.4625228519195612,0.22851919561243145,1,0,0.0,1.4625228519195612,2,31,0.3656307129798903,0.056672760511883,1,0,0.0,0.3656307129798903,2,27,0.3656307129798903,0.04936014625228519,1,0,0.0,0.3656307129798903,2,0.3656307129798903,0,0.0,2,0.3656307129798903,12,2.1937842778793417,True,False,-4.689426422119141,8.2332763671875,10.526244163513184,-2.3374154567718506,20.493860244750977,14.299077033996582,-4.738142967224121
qwen3_4b/followup_triggers/baseline/2/real,qwen3_4b,followup_triggers,baseline,0.0,True,none,0.0,2,real,True,,True,,stop,gpt-4o-2024-08-06,No,Yes,Yes,0,0,603,37,37,0,0,0,0,603,1.0,0.036666666666666625,,2,43,0.33167495854063017,0.07131011608623548,1,0,0.0,0.33167495854063017,25,424,4.1459369817578775,0.703150912106136,1,1,0.16583747927031509,3.9800995024875623,4,75,0.6633499170812603,0.12437810945273632,1,0,0.0,0.6633499170812603,1,14,0.16583747927031509,0.02321724709784411,1,0,0.0,0.16583747927031509,5,47,0.8291873963515755,0.0779436152570481,1,1,0.16583747927031509,0.6633499170812603,0,0,0.0,0.0,0,0,0.0,0.0,2,0.33167495854063017,0,0.0,2,0.33167495854063017,6,0.9950248756218906,True,False,-3.4521267414093018,8.184602737426758,11.9336576461792,-1.6377217769622803,22.145313262939453,14.063091278076172,-3.533507823944092
qwen3_4b/followup_triggers/baseline/2/hypothetical,qwen3_4b,followup_triggers,baseline,0.0,True,none,0.0,2,hypothetical,True,,True,,stop,gpt-4o-2024-08-06,No,No,Yes,0,0,423,29,29,0,0,0,0,423,1.0,0.004761904761904745,,3,44,0.7092198581560284,0.10401891252955082,1,0,0.0,0.7092198581560284,17,245,4.0189125295508275,0.5791962174940898,1,0,0.0,4.0189125295508275,7,104,1.6548463356973995,0.2458628841607565,1,0,0.0,1.6548463356973995,2,30,0.4728132387706856,0.07092198581560284,1,0,0.0,0.4728132387706856,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,11,2.600472813238771,True,False,-4.187938690185547,9.970827102661133,10.882555961608887,-2.1463072299957275,20.035770416259766,8.896821022033691,-4.195513725280762
qwen3_4b/followup_triggers/baseline/3/real,qwen3_4b,followup_triggers,baseline,0.0,True,none,0.0,3,real,True,,True,,stop,gpt-4o-2024-08-06,No,No,Yes,0,0,387,28,28,0,0,0,0,387,1.0,0.0078125,,1,48,0.25839793281653745,0.12403100775193798,1,0,0.0,0.25839793281653745,18,214,4.651162790697675,0.5529715762273901,1,0,0.0,4.651162790697675,6,87,1.550387596899225,0.2248062015503876,1,0,0.0,1.550387596899225,3,38,0.7751937984496124,0.09819121447028424,1,0,0.0,0.7751937984496124,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,3,0.7751937984496124,True,False,-4.7054572105407715,9.905828475952148,11.330414772033691,-1.9067853689193726,15.805426597595215,7.689072608947754,-4.732632637023926
qwen3_4b/followup_triggers/baseline/3/hypothetical,qwen3_4b,followup_triggers,baseline,0.0,True,none,0.0,3,hypothetical,True,,True,,stop,gpt-4o-2024-08-06,No,No,Yes,0,0,324,24,24,0,0,0,0,324,1.0,0.006230529595015577,,2,40,0.6172839506172839,0.12345679012345678,1,0,0.0,0.6172839506172839,18,225,5.555555555555555,0.6944444444444444,1,1,0.30864197530864196,5.246913580246914,1,15,0.30864197530864196,0.046296296296296294,1,0,0.0,0.30864197530864196,2,26,0.6172839506172839,0.08024691358024691,1,0,0.0,0.6172839506172839,1,18,0.30864197530864196,0.05555555555555555,1,0,0.0,0.30864197530864196,0,0,0.0,0.0,0,0,0.0,0.0,1,0.30864197530864196,0,0.0,2,0.6172839506172839,5,1.5432098765432098,True,False,-6.115522861480713,10.14492130279541,11.912834167480469,-2.3679494857788086,18.523168563842773,8.753037452697754,-4.689789772033691
qwen3_4b/followup_triggers/baseline/4/real,qwen3_4b,followup_triggers,baseline,0.0,True,none,0.0,4,real,True,,True,,stop,gpt-4o-2024-08-06,Yes,Yes,No,0,0,434,26,26,0,0,0,0,434,1.0,0.016241299303944357,,2,20,0.4608294930875576,0.04608294930875576,1,0,0.0,0.4608294930875576,12,202,2.7649769585253456,0.46543778801843316,1,0,0.0,2.7649769585253456,6,96,1.3824884792626728,0.22119815668202766,1,1,0.2304147465437788,1.152073732718894,0,0,0.0,0.0,0,0,0.0,0.0,6,116,1.3824884792626728,0.2672811059907834,1,2,0.4608294930875576,0.9216589861751152,0,0,0.0,0.0,0,0,0.0,0.0,1,0.2304147465437788,0,0.0,1,0.2304147465437788,7,1.6129032258064515,True,False,-1.3549456596374512,9.072921752929688,11.473018646240234,-2.6588990688323975,24.226613998413086,10.741666793823242,-1.3293991088867188
qwen3_4b/followup_triggers/baseline/4/hypothetical,qwen3_4b,followup_triggers,baseline,0.0,True,none,0.0,4,hypothetical,True,,True,,stop,gpt-4o-2024-08-06,No,No,Yes,0,0,698,49,49,0,0,0,0,698,1.0,0.02877697841726623,,1,34,0.14326647564469913,0.04871060171919771,1,0,0.0,0.14326647564469913,18,277,2.5787965616045847,0.3968481375358166,1,1,0.14326647564469913,2.4355300859598854,17,235,2.4355300859598854,0.336676217765043,1,0,0.0,2.4355300859598854,3,39,0.4297994269340974,0.055873925501432664,1,0,0.0,0.4297994269340974,10,113,1.4326647564469914,0.16189111747851004,1,1,0.14326647564469913,1.2893982808022924,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,1,0.14326647564469913,15,2.1489971346704873,True,False,-3.3033862113952637,8.689349174499512,10.908167839050293,-2.2418007850646973,20.841154098510742,12.875919342041016,-3.2857072353363037
