model,family,arm,signed_alpha,baseline,framing,flip_class,n,metric,base_mean,delta,ci_lo,ci_hi,sig
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,norm,2.567539006995114,0.13113088466703182,-0.02698565868841953,0.2820981330715154,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,norm_narrow,1.0765172104716307,0.11248405043065456,0.006452198422322602,0.20638077837500968,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,norm_sentences,2.5892146250742796,0.1650776089127976,0.006612573021170822,0.315863249717312,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,norm_incl_test,2.6047718208608073,0.11015327425622322,-0.04597236260013411,0.2600674944454652,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,all,149,test,0.06698742368710817,-0.0025961000367556693,-0.041463557513190266,0.036849398194342166,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,refuse_both,129,norm,2.8655980198255184,0.06681365793594281,-0.08947371519367767,0.22081810789414077,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,refuse_both,129,norm_narrow,1.2183206767712051,0.08586247844249359,-0.026396792626182105,0.19681813142142307,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,refuse_both,129,norm_sentences,2.885418206846806,0.10531147297366684,-0.047838321770433095,0.2615757942227412,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,refuse_both,129,norm_incl_test,2.903114402555394,0.048072665243105,-0.10355735937378485,0.19880311490352595,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,refuse_both,129,test,0.06309274421990041,-0.012009963319947128,-0.05011494836287381,0.025153305208896266,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,comply_both,12,norm,0.1272264631043257,0.08579269971491481,-0.05524973895765536,0.28254360224199054,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,comply_both,12,norm_narrow,0.0,0.074867197875166,0.0,0.18293492695883137,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,comply_both,12,norm_sentences,0.1484308736217133,0.09778882040602653,-0.03125749757543191,0.2945397229331023,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,comply_both,12,norm_incl_test,0.1272264631043257,0.08579269971491481,-0.05524973895765536,0.28254360224199054,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,comply_both,12,test,0.04782184512847496,0.16211078775524693,0.030080443980073885,0.294012453593479,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,lost,6,norm,0.74986869909164,1.937765737515649,1.182333278971296,2.5918355229250145,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,lost,6,norm_narrow,0.24260844188502592,0.8224751274727904,0.3768900518126524,1.261797510692936,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,lost,6,norm_sentences,0.74986869909164,1.937765737515649,1.182333278971296,2.5918355229250145,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,lost,6,norm_incl_test,0.8678813480640413,1.8197530885432478,1.0818762061885754,2.497069701159581,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,real,lost,6,test,0.21138333057837702,-0.13047718171106312,-0.4622556093144328,0.16205176875207403,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,norm,2.402218806705769,0.014160426522689624,-0.14419943478678546,0.18610809449023946,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,norm_narrow,1.014113122689219,0.04412308668456773,-0.0499808260735664,0.14173559634789132,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,norm_sentences,2.4291070605082674,0.04910302610009812,-0.11147548302079231,0.21713040837686465,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,norm_incl_test,2.445709951817382,0.023261823761664472,-0.13723369109154124,0.19524947811487542,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,all,149,test,0.10685561997787286,-0.0038141597987916523,-0.050141887065596025,0.03945005842096906,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,refuse_both,114,norm,2.9349916533438174,-0.10853571301155125,-0.273128128875935,0.05470268153310097,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,refuse_both,114,norm_narrow,1.2819775545025553,-0.023836030305103884,-0.13080478999190992,0.07972774445289922,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,refuse_both,114,norm_sentences,2.9683226905922764,-0.06541688433198237,-0.23142337468865845,0.09639144339887537,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,refuse_both,114,norm_incl_test,2.9858317469901,-0.09063643112943372,-0.25898326586138526,0.07465617816892509,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,refuse_both,114,test,0.12307103864991514,-0.0098294276944086,-0.06536708308266924,0.040057722936876594,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,comply_both,19,norm,0.38033317642203174,-0.08578411698016247,-0.39997881611618175,0.15663592784104988,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,comply_both,19,norm_narrow,0.030838815789473683,-0.020184650010654163,-0.09251644736842106,0.031962497336458555,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,comply_both,19,norm_sentences,0.38033317642203174,-0.08578411698016247,-0.39997881611618175,0.15663592784104988,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,comply_both,19,norm_incl_test,0.39061278168518965,-0.09606372224332037,-0.4308176319056554,0.15652738835869334,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,comply_both,19,test,0.010279605263157895,0.060615608038351664,-0.0006230063795853271,0.1321238223076218,False
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,lost,12,norm,1.0001441839082912,1.6159727504482284,0.959585558744559,2.308498837021945,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,lost,12,norm_narrow,0.24884959851008218,0.9217030921888538,0.5284102286656087,1.289297273115693,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,lost,12,norm_sentences,1.0173618147622858,1.6402144894118125,0.9652796870802998,2.3585035646378394,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,lost,12,norm_incl_test,1.0409023044044703,1.5752146299520493,0.9370298695739253,2.2580051350031085,True
deepseek_qwen,actions,alpha0.35,-0.35,actions/alpha0.0,fake,lost,12,test,0.06377837832306671,0.003240555360929998,-0.10823768569317115,0.11818872324808714,False
deepseek_qwen,actions,alpha0.3,-0.3,actions/alpha0.0,real,all,149,norm,2.567539006995114,0.09597985099624443,-0.08170526921191203,0.2614108119086825,False
deepseek_qwen,actions,alpha0.3,-0.3,actions/alpha0.0,real,all,149,norm_narrow,1.0765172104716307,0.11518802164868619,0.004148169838752487,0.22819133207135808,True
deepseek_qwen,actions,alpha0.3,-0.3,actions/alpha0.0,real,all,149,norm_sentences,2.5892146250742796,0.11349763901663908,-0.06498934369534616,0.27947392359237,False
deepseek_qwen,actions,alpha0.3,-0.3,actions/alpha0.0,real,all,149,norm_incl_test,2.6047718208608073,0.07792371046827465,-0.09696696936703525,0.24123474212832918,False
deepseek_qwen,actions,alpha0.3,-0.3,actions/alpha0.0,real,all,149,test,0.06698742368710817,-0.00628623810685019,-0.044280265562273304,0.031204262911695372,False
deepseek_qwen,actions,alpha0.3,-0.3,actions/alpha0.0,real,refuse_both,129,norm,2.865271759809336,0.031807740036255784,-0.1235481392508283,0.18759126052794167,False
deepseek_qwen,actions,alpha0.3,-0.3,actions/alpha0.0,real,refuse_both,129,norm_narrow,1.2217137809395033,0.09216439361134021,-0.027776339726607244,0.22014091344296421,False
deepseek_qwen,actions,alpha0.3,-0.3,actions/alpha0.0,real,refuse_both,129,norm_sentences,2.8850919468306233,0.05515095129713699,-0.10592981807777067,0.21305828174597943,False
deepseek_qwen,actions,alpha0.3,-0.3,actions/alpha0.0,real,refuse_both,129,norm_incl_test,2.9027881425392112,0.011889247102014815,-0.14613797571250345,0.16641042910819365,False
