model,family,arm,signed_alpha,n,n_annotated,n_ok,n_judge_fail,n_error,n_truncated,n_no_think_close,mean_words,mean_spans,spans_total,spans_not_found_exact,spans_found_norm_only,spans_not_found,spans_unknown_label,mean_labeled_fraction,mean_repetition,not_found_exact_rate,found_norm_only_rate,not_found_rate,unknown_label_rate
deepseek_qwen,actions,alpha0.0,0.0,298,298,298,0,0,0,0,248.01342281879195,17.748322147651006,5289.0,0.0,0.0,0.0,0.0,0.9919598824721633,0.003573764673725955,0.0,0.0,0.0,0.0
deepseek_qwen,actions,alpha0.05_aware,0.05,298,298,296,2,0,0,0,262.5234899328859,18.630872483221477,5569.0,17.0,0.0,17.0,0.0,0.9883089906242891,0.003682530399178383,0.0030526126773208835,0.0,0.0030526126773208835,0.0
deepseek_qwen,actions,alpha0.07_aware,0.07,298,298,295,3,0,0,0,278.248322147651,19.110738255033556,5722.0,27.0,1.0,26.0,0.0,0.9838327943947586,0.0056637469839149746,0.004718629849702901,0.00017476406850751484,0.004543865781195386,0.0
deepseek_qwen,actions,alpha0.25,-0.25,298,298,297,1,0,0,0,249.5738255033557,17.835570469798657,5325.0,10.0,0.0,10.0,0.0,0.9894954658103667,0.003976561464232762,0.0018779342723004694,0.0,0.0018779342723004694,0.0
deepseek_qwen,actions,alpha0.3,-0.3,298,298,298,0,0,0,0,249.58053691275168,17.996644295302012,5364.0,0.0,0.0,0.0,1.0,0.991999016259854,0.0036562402390818405,0.0,0.0,0.0,0.00018642803877703205
deepseek_qwen,actions,alpha0.35,-0.35,298,298,298,0,0,0,0,246.89261744966444,17.80536912751678,5309.0,2.0,2.0,0.0,1.0,0.9903488398983241,0.004134592162502989,0.00037671877943115466,0.00037671877943115466,0.0,0.00018835938971557733
deepseek_qwen,actions_sampling,alpha0.0,0.0,298,298,298,0,0,0,0,251.13422818791946,17.607382550335572,5249.0,2.0,2.0,0.0,0.0,0.9931997194859999,0.00373810224892795,0.00038102495713469235,0.00038102495713469235,0.0,0.0
deepseek_qwen,actions_sampling,alpha0.07_aware,0.07,298,298,297,1,0,0,0,267.7684563758389,18.33221476510067,5477.0,13.0,1.0,12.0,1.0,0.9898504036028928,0.0046243086729141685,0.002373562169070659,0.00018258170531312764,0.0021909804637575314,0.00018258170531312764
deepseek_qwen,actions_sampling,alpha0.35,-0.35,176,176,176,0,0,0,0,253.04545454545453,18.068181818181817,3180.0,0.0,0.0,0.0,0.0,0.992312584628349,0.0037929952682177743,0.0,0.0,0.0,0.0
deepseek_qwen,harmbench,alpha0.0,0.0,99,99,98,0,1,0,1,693.4285714285714,47.11224489795919,4617.0,0.0,0.0,0.0,0.0,0.9986887614481808,0.019565179072659925,0.0,0.0,0.0,0.0
