label,n,is_floor,behaviour,d
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,0.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-1.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-2.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,0.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-3.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,2.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,1.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-2.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,4.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,0.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,0.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-3.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-2.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-6.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,3.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-5.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,8.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-2.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,7.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-3.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,2.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,2.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-3.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,8.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-2.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,4.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-4.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,3.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,0.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-7.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,1.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-2.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-1.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,3.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-4.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-7.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,0.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-2.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,0.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,0.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-2.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,2.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-5.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-4.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,4.0
"Distill-32B: Abdelnabi & Salem's weight edit, toward awareness",104,False,deduction,-2.0
