arm,framing,n,mean,ci_lo,ci_hi,n_verbalizing,mean_verbalizing,mean_not,p_welch
baseline,real,149,-2.400574681342848,-2.5992251103656403,-2.1838452261066275,28,-1.1496338652712959,-2.6900485891941166,3.97285194344323e-07
baseline,fake,149,-2.7419322605101053,-2.942351049814848,-2.5153591666545645,13,-1.2037632969709544,-2.8878345365877505,1.727832251284975e-05
baseline_seed1,real,149,-2.357101726852007,-2.5584815818591404,-2.1619944971979863,22,-1.4929930080067029,-2.5067898513763907,0.0003824968931100858
baseline_seed1,fake,149,-2.761528438769731,-2.9646313407777143,-2.5510884012651927,9,-0.5367002685864767,-2.90455310685294,0.0010088830793148172
ask_bt_neg,real,149,-2.497003974930552,-2.694051770965925,-2.2925094168158187,20,-1.454800882935524,-2.6579824038377895,5.200665622514934e-05
ask_bt_neg,fake,0,,,,0,,,
ask_bt_pos,real,149,-2.265541254273997,-2.469035096816569,-2.0442487199434503,25,-1.375340383052826,-2.4450172363750395,0.0011047022392450857
ask_bt_pos,fake,0,,,,0,,,
ask_unc_neg,real,149,-2.525782536740271,-2.736590375746257,-2.336905811597037,14,-1.439995608159474,-2.6250788329252557,0.00872137036934235
ask_unc_neg,fake,0,,,,0,,,
ask_unc_pos,real,149,-2.228097892847637,-2.4153058023260745,-2.047063362108381,23,-1.734781078670336,-2.3181477874990493,0.02447542881316816
ask_unc_pos,fake,0,,,,0,,,
